FlowId,Time,Throughput,PacketLoss,Delay
1,0.1,87.1406,136,0.00281018
1,0.2,89.935,201,0.00548379
1,0.3,90.8646,267,0.00816074
1,0.4,91.3293,332,0.0108302
1,0.5,91.6081,398,0.0134871
1,0.6,91.7248,939,0.0150426
2,0.6,38.2388,744,0.0017736
1,0.7,77.0404,1826,0.0213657
2,0.7,60.9013,1143,0.00344719
1,0.8,77.2942,2914,0.0237377
2,0.8,62.0972,1342,0.0235274
1,0.9,70.0628,3131,0.0522407
2,0.9,62.0044,2411,0.0255211
1,1,71.229,3788,0.0655437
2,1,49.1778,3040,0.057118
1,1.1,64.1648,4634,0.0785533
2,1.1,54.3651,3480,0.0845407
3,1.1,-0,1220,0
1,1.2,60.1717,5665,0.0856122
2,1.2,46.688,4486,0.0943308
3,1.2,30.1594,1690,0.0146234
1,1.3,60.1717,6886,0.0856122
2,1.3,43.8417,5396,0.114694
3,1.3,46.7884,2067,0.0260843
1,1.4,54.5818,7569,0.114512
2,1.4,43.9766,6227,0.139193
3,1.4,44.2291,3058,0.0323952
1,1.5,55.048,8023,0.152779
2,1.5,41.9855,7222,0.154602
3,1.5,33.0263,4117,0.0472733
1,1.6,56.3686,8295,0.195264
2,1.6,37.8228,8348,0.162576
3,1.6,28.5155,5274,0.0552876
4,1.6,6.10021,1172,0.00405248
1,1.7,55.1466,9083,0.21462
2,1.7,36.0847,9551,0.164319
3,1.7,27.1662,6175,0.0980996
4,1.7,23.9014,2006,0.0413178
1,1.8,54.5187,9746,0.240277
2,1.8,36.0847,10772,0.164319
3,1.8,29.9482,6916,0.15017
4,1.8,16.1896,3110,0.0684703
1,1.9,53.2678,10584,0.258604
2,1.9,30.2367,11875,0.18057
3,1.9,26.4232,8062,0.159977
4,1.9,25.761,3750,0.135755
1,2,52.7853,11679,0.264653
2,2,28.9173,13026,0.190877
3,2,27.0324,8864,0.212268
4,2,26.8483,4431,0.185801
1,2.1,51.0577,12747,0.272826
2,2.1,28.3043,14131,0.208703
3,2.1,30.4217,9258,0.298771
4,2.1,27.3933,5590,0.190098
5,2.1,-0,1220,0
1,2.2,48.6528,13780,0.283719
2,2.2,28.0273,14815,0.291898
3,2.2,30.0927,10343,0.310396
4,2.2,23.7204,6659,0.208351
5,2.2,6.16675,2297,0.0293035
1,2.3,46.8456,14743,0.298993
2,2.3,27.7102,15758,0.332391
3,2.3,28.8195,11366,0.330651
4,2.3,22.0491,7712,0.233318
5,2.3,10.7788,3265,0.0650921
1,2.4,46.4653,15501,0.326776
2,2.4,27.9873,16890,0.345023
3,2.4,26.5505,12495,0.3415
4,2.4,22.7696,8433,0.308511
5,2.4,8.45919,4471,0.0699288
1,2.5,44.5498,16681,0.32954
2,2.5,27.9873,18111,0.345023
3,2.5,27.2427,13219,0.399904
4,2.5,24.4202,9209,0.361788
5,2.5,9.56598,5520,0.123655
1,2.6,43.551,17774,0.338701
2,2.6,24.8482,19133,0.3787
3,2.6,28.6968,13960,0.449859
4,2.6,23.0196,10380,0.368067
5,2.6,11.8231,6441,0.20971
1,2.7,41.9809,18855,0.349433
2,2.7,25.2258,19941,0.44618
3,2.7,26.7434,15156,0.452698
4,2.7,23.5751,11170,0.425607
5,2.7,12.0174,7513,0.241433
1,2.8,41.457,19800,0.371238
2,2.8,25.7372,20968,0.476769
3,2.8,26.8744,16045,0.492145
4,2.8,22.9508,12172,0.454848
5,2.8,11.6997,8599,0.276817
1,2.9,40.2897,20964,0.376048
2,2.9,25.4075,21699,0.554331
3,2.9,25.5173,17245,0.494903
4,2.9,22.9099,13153,0.487239
5,2.9,13.7468,9471,0.345013
1,3,39.3653,21986,0.39301
2,3,25.1138,22695,0.589081
3,3,24.9254,18315,0.515274
4,3,24.2156,13794,0.560028
5,3,13.7468,10692,0.345013
1,3.1,38.3202,23154,0.397853
2,3.1,25.2563,23855,0.598371
3,3.1,24.5651,19207,0.561888
4,3.1,25.7503,14425,0.622655
5,3.1,12.2845,11787,0.374495
1,3.2,37.4539,24331,0.402175
2,3.2,23.6099,25016,0.608601
3,3.2,26.1645,19722,0.652554
4,3.2,25.8107,15299,0.656288
5,3.2,12.2845,13008,0.374495
1,3.3,36.3405,25444,0.413471
2,3.3,24.6669,25675,0.699952
3,3.3,25.8006,20683,0.685151
4,3.3,25.8107,16520,0.656288
5,3.3,11.8052,14004,0.44185
1,3.4,36.9941,25888,0.492148
2,3.4,23.8329,26789,0.717531
3,3.4,25.6926,21630,0.717415
4,3.4,25.8107,17741,0.656288
5,3.4,11.8052,15224,0.44185
1,3.5,36.5502,27065,0.496511
2,3.5,23.9091,27704,0.767757
3,3.5,25.8092,22576,0.751114
4,3.5,22.7528,18888,0.666683
5,3.5,12.4202,15989,0.574043
1,3.6,35.2087,28175,0.508335
2,3.6,24.5733,28380,0.850836
3,3.6,25.8092,23797,0.751114
4,3.6,21.9359,19895,0.698431
5,3.6,13.2248,16923,0.643207
1,3.7,34.6019,29320,0.516755
2,3.7,24.7137,29209,0.908347
3,3.7,23.6999,25015,0.751409
4,3.7,22.1456,20813,0.743594
5,3.7,14.3836,17760,0.720704
1,3.8,33.7806,30393,0.533741
2,3.8,24.8053,30088,0.956539
3,3.8,23.4156,26076,0.775663
4,3.8,22.4964,21800,0.777633
5,3.8,14.6195,18709,0.772665
1,3.9,34.1621,31328,0.566069
2,3.9,24.2943,31212,0.970731
3,3.9,23.128,27075,0.810619
4,3.9,22.4964,23020,0.777633
5,3.9,16.1835,19379,0.863941
1,4,33.3369,32445,0.578226
2,4,24.8289,31897,1.04775
3,4,23.6477,27908,0.868795
4,4,21.2865,24113,0.798492
5,4,16.1835,20600,0.863941
1,4.1,32.6659,33392,0.610637
2,4.1,24.8809,33087,1.05199
3,4.1,23.574,28876,0.906075
4,4.1,20.5548,25164,0.828469
5,4.1,16.2175,21391,0.936533
1,4.2,33.4281,33777,0.707082
2,4.2,24.8809,34308,1.05199
3,4.2,23.186,29938,0.930149
4,4.2,20.5548,26384,0.828469
